ลำดับ,คณะ,สาขาวิชา,จำนวนรับ,ว่าง,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา,รหัสคณะ,ประเภท,รหัสหลักสูตร,แหล่งที่มา
1,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),35,,"1. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 45.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 15.00",,,,https://admission.ku.ac.th/majors/project/28/
2,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย ปกติ),10,,"1. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 30.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 25.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00",,,,https://admission.ku.ac.th/majors/project/28/
3,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย พิเศษ),32,,"1. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 30.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 25.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00",,,,https://admission.ku.ac.th/majors/project/28/
4,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ),20,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/28/
5,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย พิเศษ),34,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/28/
6,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ),5,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/28/
7,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย พิเศษ),7,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/28/
8,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),20,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/28/
9,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย พิเศษ),30,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/28/
10,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ),5,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/28/
11,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาต่างประเทศ),20,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/28/
12,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (นานาชาติ),20,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 30.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 25.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00",,,,https://admission.ku.ac.th/majors/project/28/
13,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมการผลิตดิจิทัลและการบูรณาการหุ่นยนต์ (นานาชาติ),12,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 30.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 25.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 25.00",,,,https://admission.ku.ac.th/majors/project/28/
14,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมซอฟต์แวร์และความรู้ (นานาชาติ),10,,"1. TGAT ความถนัดทั่วไป ไม่ต่ำกว่า 1.00 คะแนน
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT ความถนัดทั่วไป สัดส่วน 20.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 50.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 25.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 5.00",,,,https://admission.ku.ac.th/majors/project/28/
15,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาต่างประเทศ),5,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TGAT2 การคิดอย่างมีเหตุผล ไม่ต่ำกว่า 1.00 คะแนน
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
5. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 20.00
2. TGAT2 การคิดอย่างมีเหตุผล สัดส่วน 20.00
3. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 20.00
4. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
5. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/28/
16,คณะวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมวัสดุ (ภาษาไทย พิเศษ),4,,"1. TGAT1 การสื่อสารภาษาอังกฤษ ไม่ต่ำกว่า 1.00 คะแนน
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ ไม่ต่ำกว่า 1.00 คะแนน
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 ไม่ต่ำกว่า 1.00 คะแนน
4. A-Level Phy ฟิสิกส์ ไม่ต่ำกว่า 1.00 คะแนน","1. TGAT1 การสื่อสารภาษาอังกฤษ สัดส่วน 30.00
2. TPAT3 ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ สัดส่วน 30.00
3. A-Level Math1 คณิตศาสตร์ประยุกต์ 1 สัดส่วน 20.00
4. A-Level Phy ฟิสิกส์ สัดส่วน 20.00",,,,https://admission.ku.ac.th/majors/project/28/
